,C-03,1,ea.,,Drum Incline Conveyor,,drums,,,,"1/4"" SS",12“,"42"" / 132""","6""",65,"10'-0"" (h)",34 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",61.3,Y,"5.2""","5.2""",EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[14'-5""]",,,,,scoop,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-04,1,ea.,,OH Drum Transfer Conveyor,,drums,,,,"1/4"" SS","18""","108""","4""",0,"21'-6""",48 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-05,1,ea.,,Drum Dip Conveyor,,drums,,,,"1/4"" SS","14""","33"" / 126""","5""",60,"15'-0"" (h)",42 ft,S800 PFFT,Acetal,White,"4""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[18'-4""]",,Perforated,,,no-cling,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-06,1,ea.,,OH Drum Bagger Feed Conveyor,,druns,,,,"1/4"" SS","18""",102',"4""",0,"13'-0""",31 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,Pneumatic,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,Diverter,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-07,1,ea.,,Drum Full Box Conveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-08,1,ea.,,Drum Full Box Radius Conveyor,,boxes,,,,"1/4"" SS","18""","32""","1""",0,"9'-3"" (h)",46 ft,S3000 MT,Acetal,Grey,N/A,N/A,N/A,60,Y,5.2,5.2,UHMW-PE,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[11'-3""]",,Mesh Top,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-09,1,ea.,,Wing Incline Conveyor,,wings,,,,"1/4"" SS",18”,"58"" / 132""","5""",70,"12'-9"" (h)",39 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[17'-0""]",,,,,streamline,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-10,1,ea.,,Wing Incline Conveyor,,wings,,,,"1/4"" SS",18”,"58"" / 132""","5""",70,"12'-9"" (h)",39 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[17'-0""]",,,,,streamline,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-11,1,ea.,,OH Wing Transfer Conveyor,,wings,,,,"1/4"" SS","18""","108"" ","4""",0,"22'-5""",50 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-12,1,ea.,,OH Wing Chiller Feed Conveyor,,wings,,,,"1/4"" SS","18""","66"" / 102""","5""",45,"12-9"" (h)",33 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"14'-0""",,,,,streamline,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-13,1,ea.,,OH Wing Dip Conveyor,,wings,,,,"1/4"" SS","24""","66"" / 102""","4""",45,"9'-3"" (h)",29 ft,S800 PFFT,Acetal,White,"4""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,Dip Section,,,,,
,,,,,,,,,,,,,,,,"12'-0""",,Perforated,,,streamline,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
